ID,Total_richness,Altitude,Slope,norm_H_1_mean,Aspect,TWI,one_mean,one_std,homogeneity,contrast,dissimilarity,entropy,second_moment
4,13,1291.88,0.1181934,0.37622177,127.2040242,2.960569163,12.53907395,5.802549736,0.263676735,19.90399896,3.402761495,2.132594626,0.121821313
6,21,795.04,0.10096628,0.346068653,100.1712222,3.270267294,5.886818494,3.6844673,0.454906147,5.703219847,1.707706519,1.94498963,0.159203542
10,22,757691,0.07825447,0.489747202,128.0019265,3.381798606,5.470732189,3.24792624,0.501952701,4.413095238,1.437433862,1.847411002,0.176601999
11,13,784476,0.07862194,0.542342132,93.73140165,3.291473501,7.081524079,3.616674081,0.393243753,7.321479745,2.018106031,2.025215514,0.14182334
12,20,843969,0.11805044,0.627405161,110.6157881,2.493510819,6.188547544,3.868235992,0.412720491,7.58629673,2.019538882,1.947511941,0.167990969
14,19,1320.61,0.11198989,0.404820408,123.2983173,2.798053134,9.24705678,4.422857988,0.319786606,12.73364126,2.693097254,2.092114887,0.128588943
15,8,1381.26,0.12095315,0.557706687,213.9304241,2.670095556,11.1559576,6.005673623,0.289340005,18.9208577,3.268096166,2.098254075,0.127976319
17,25,740822,0.16671547,0.438694245,240.4256012,2.526427255,4.292441498,3.654522139,0.518050096,4.57876891,1.456703182,1.765939577,0.21836782
20,29,742664,0.10631112,0.286342717,156.3694078,3.143133438,4.850430139,3.040427866,0.53004499,3.339499037,1.300706487,1.760161664,0.205052451
22,23,792363,0.17624587,0.277306681,140.5661294,3.188615968,4.862309332,2.865571989,0.450999745,4.793764038,1.63086273,1.940837005,0.157381718
23,30,838128,0.13378422,0.846907727,223.3303616,2.364299654,7.009885835,3.989893332,0.43959193,5.346228996,1.720593982,1.965064007,0.154704529
24,13,877995,0.10414914,0.778034066,208.2233969,2.882526664,9.609170892,3.648221971,0.419355131,6.40672312,1.871696177,1.997691125,0.147577909
25,7,1292.28,0.07192165,0.332309104,162.5556601,3.182536643,16.81692784,8.009177506,0.242320534,37.64033398,4.50687219,2.133313154,0.121587098
26,6,1328.81,0.07846774,0.249866129,101.078652,3.699212641,13.51910908,6.983472322,0.27010455,27.18672473,3.841514912,2.115344307,0.124952347
31,12,822659,0.09097225,0.356339592,198.3557914,3.562077492,10.70314126,3.744452093,0.433507624,6.704716607,1.842251288,1.988359121,0.148750018
32,27,826795,0.18152939,0.216540735,240.9294358,2.926028772,7.28036032,5.364982556,0.423389762,7.271912482,1.925662317,1.935834248,0.166263931
38,14,835354,0.09774132,0.450332296,186.7120906,2.804383224,8.887196,5.123132454,0.378945201,9.105430044,2.22605364,2.047596659,0.137534681
46,10,1176.4,0.08630666,0.781876452,199.4915125,3.084318132,9.771383591,4.26907657,0.346069923,12.46447871,2.589956505,2.07068181,0.133605729
49,7,1307.39,0.06436905,0.729841303,226.7128308,3.255864029,8.016121286,3.830767411,0.366541944,9.335935467,2.301587302,2.042331041,0.138317865
53,14,956.03,0.14530643,0.467273128,214.1879341,2.618682333,10.80869581,4.768696377,0.369141757,11.69701768,2.446027976,2.040431855,0.139262778
54,14,989368,0.08326338,0.184882973,171.0071166,3.683022995,9.078796315,4.444180081,0.418487229,7.65870218,1.976498237,1.994959268,0.147002075
55,11,1045.44,0.06670911,0.412769944,138.9374523,3.693170661,10.05090191,4.225054704,0.386136368,7.649473954,2.053374391,2.015936512,0.14250278
56,10,1052.45,0.07906071,0.734083453,116.1755807,3.206096116,12.92235143,5.838808658,0.338741208,17.27989724,2.940526654,2.079541419,0.131149647
58,12,1089.59,0.09810579,0.426272539,138.0923676,3.502775328,9.771923423,4.710554601,0.339283263,12.95887703,2.635429023,2.049049559,0.136300397
60,15,1163.61,0.14490792,0.284282389,91.28659045,2.919056487,6.444723808,3.985968598,0.42827575,6.619271445,1.863298081,1.953749978,0.157766462
62,25,927933,0.16321419,0.339251862,252.2468452,2.279567493,4.950795201,3.916726903,0.394700799,8.773280423,2.112169312,2.013512908,0.143915344
67,21,1018.85,0.11698482,0.348474077,307.2789037,2.945256845,7.798334618,3.802597419,0.393663897,7.911481041,2.095124851,1.975221907,0.154856799
70,12,1181.73,0.14896013,0.649573585,174.5323842,3.048918602,9.973816411,3.105891649,0.420759305,7.369985903,1.952326028,1.988954064,0.148418699
74,14,981327,0.11571573,0.187477442,184.1259502,3.281587898,7.744982094,4.905470829,0.388579583,8.965351049,2.171551387,2.017775765,0.143068039
75,24,995122,0.13648384,0.239686122,260.9842813,2.705287647,4.498143369,2.999445471,0.409009924,6.259391534,1.892460317,1.98416067,0.151058201
